LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.2812-0.3125	0.7188-0.7500		13	below_min_n
0.3125-0.3438	0.7188-0.7500		9	below_min_n
0.3438-0.3750	0.7188-0.7500		18	below_min_n
0.3750-0.4062	0.7188-0.7500	0.6618	21	
0.4062-0.4375	0.7188-0.7500		10	below_min_n
0.4375-0.4688	0.7188-0.7500	0.4722	20	
0.4688-0.5000	0.7188-0.7500	0.7593	21	
0.5000-0.5312	0.7188-0.7500	0.8776	21	
0.5312-0.5625	0.7188-0.7500	0.9143	22	
0.5625-0.5938	0.7188-0.7500		16	below_min_n
0.5938-0.6250	0.7188-0.7500	0.9532	28	
0.6250-0.6562	0.7188-0.7500	0.8968	25	
0.6562-0.6875	0.7188-0.7500	0.8667	28	
0.6875-0.7188	0.7188-0.7500	0.8294	27	
0.7188-0.7500	0.7188-0.7500	0.9293	45	
0.7500-0.7812	0.7188-0.7500		15	below_min_n
0.7812-0.8125	0.7188-0.7500	0.7959	28	
0.8125-0.8438	0.7188-0.7500		19	below_min_n
0.8438-0.8750	0.7188-0.7500	0.8274	29	
0.8750-0.9062	0.7188-0.7500	0.6204	21	
0.9062-0.9375	0.7188-0.7500	0.7786	43	
0.9375-0.9688	0.7188-0.7500	0.8231	23	
0.9688-1.0000	0.7188-0.7500	0.7064	68	
0.0000-0.0312	0.7500-0.7812	0.4231	41	
0.0312-0.0625	0.7500-0.7812		1	below_min_n
0.0625-0.0938	0.7500-0.7812		4	below_min_n
0.0938-0.1250	0.7500-0.7812		3	below_min_n
0.1250-0.1562	0.7500-0.7812		1	below_min_n
0.1562-0.1875	0.7500-0.7812		9	below_min_n
0.1875-0.2188	0.7500-0.7812		7	below_min_n
0.2188-0.2500	0.7500-0.7812		7	below_min_n
0.2500-0.2812	0.7500-0.7812		10	below_min_n
0.2812-0.3125	0.7500-0.7812		14	below_min_n
0.3125-0.3438	0.7500-0.7812		5	below_min_n
0.3438-0.3750	0.7500-0.7812		17	below_min_n
0.3750-0.4062	0.7500-0.7812		19	below_min_n
0.4062-0.4375	0.7500-0.7812		14	below_min_n
0.4375-0.4688	0.7500-0.7812		10	below_min_n
0.4688-0.5000	0.7500-0.7812		7	below_min_n
0.5000-0.5312	0.7500-0.7812	0.6333	23	
0.5312-0.5625	0.7500-0.7812		14	below_min_n
0.5625-0.5938	0.7500-0.7812		18	below_min_n
0.5938-0.6250	0.7500-0.7812	0.8099	22	
0.6250-0.6562	0.7500-0.7812	0.7143	24	
0.6562-0.6875	0.7500-0.7812		12	below_min_n
0.6875-0.7188	0.7500-0.7812		19	below_min_n
0.7188-0.7500	0.7500-0.7812	0.7917	26	
0.7500-0.7812	0.7500-0.7812		13	below_min_n
0.7812-0.8125	0.7500-0.7812	0.7644	29	
0.8125-0.8438	0.7500-0.7812		11	below_min_n
0.8438-0.8750	0.7500-0.7812		18	below_min_n
0.8750-0.9062	0.7500-0.7812	0.6199	30	
0.9062-0.9375	0.7500-0.7812	0.7250	34	
0.9375-0.9688	0.7500-0.7812	0.8111	27	
0.9688-1.0000	0.7500-0.7812	0.7022	50	
0.0000-0.0312	0.7812-0.8125	0.5600	30	
0.0312-0.0625	0.7812-0.8125		5	below_min_n
0.0625-0.0938	0.7812-0.8125		2	below_min_n
0.0938-0.1250	0.7812-0.8125		6	below_min_n
0.1250-0.1562	0.7812-0.8125		3	below_min_n
0.1562-0.1875	0.7812-0.8125		5	below_min_n
0.1875-0.2188	0.7812-0.8125		8	below_min_n
0.2188-0.2500	0.7812-0.8125		8	below_min_n
0.2500-0.2812	0.7812-0.8125		8	below_min_n
0.2812-0.3125	0.7812-0.8125		12	below_min_n
0.3125-0.3438	0.7812-0.8125		10	below_min_n
0.3438-0.3750	0.7812-0.8125		14	below_min_n
0.3750-0.4062	0.7812-0.8125		14	below_min_n
0.4062-0.4375	0.7812-0.8125		14	below_min_n
0.4375-0.4688	0.7812-0.8125		10	below_min_n
0.4688-0.5000	0.7812-0.8125		8	below_min_n
0.5000-0.5312	0.7812-0.8125		17	below_min_n
0.5312-0.5625	0.7812-0.8125		14	below_min_n
0.5625-0.5938	0.7812-0.8125		12	below_min_n
0.5938-0.6250	0.7812-0.8125		15	below_min_n
0.6250-0.6562	0.7812-0.8125		14	below_min_n
0.6562-0.6875	0.7812-0.8125		12	below_min_n
0.6875-0.7188	0.7812-0.8125		16	below_min_n
0.7188-0.7500	0.7812-0.8125	0.9364	27	
0.7500-0.7812	0.7812-0.8125		12	below_min_n
0.7812-0.8125	0.7812-0.8125		19	below_min_n
0.8125-0.8438	0.7812-0.8125		7	below_min_n
0.8438-0.8750	0.7812-0.8125	0.6667	23	
0.8750-0.9062	0.7812-0.8125	0.7422	24	
0.9062-0.9375	0.7812-0.8125	0.6824	32	
0.9375-0.9688	0.7812-0.8125		17	below_min_n
0.9688-1.0000	0.7812-0.8125	0.6177	51	
0.0000-0.0312	0.8125-0.8438	0.5758	50	
0.0312-0.0625	0.8125-0.8438		3	below_min_n
0.0625-0.0938	0.8125-0.8438		9	below_min_n
0.0938-0.1250	0.8125-0.8438		3	below_min_n
0.1250-0.1562	0.8125-0.8438		2	below_min_n
0.1562-0.1875	0.8125-0.8438		8	below_min_n
0.1875-0.2188	0.8125-0.8438		6	below_min_n
0.2188-0.2500	0.8125-0.8438		8	below_min_n
0.2500-0.2812	0.8125-0.8438		14	below_min_n
0.2812-0.3125	0.8125-0.8438		9	below_min_n
0.3125-0.3438	0.8125-0.8438		8	below_min_n
0.3438-0.3750	0.8125-0.8438		17	below_min_n
0.3750-0.4062	0.8125-0.8438		13	below_min_n
0.4062-0.4375	0.8125-0.8438		8	below_min_n
0.4375-0.4688	0.8125-0.8438	0.6818	25	
0.4688-0.5000	0.8125-0.8438		10	below_min_n
0.5000-0.5312	0.8125-0.8438	0.6900	29	
0.5312-0.5625	0.8125-0.8438	0.6719	20	
0.5625-0.5938	0.8125-0.8438		13	below_min_n
0.5938-0.6250	0.8125-0.8438	0.6395	28	
0.6250-0.6562	0.8125-0.8438	0.8301	26	
0.6562-0.6875	0.8125-0.8438		18	below_min_n
0.6875-0.7188	0.8125-0.8438	0.6750	22	
0.7188-0.7500	0.8125-0.8438	0.8036	23	
0.7500-0.7812	0.8125-0.8438		15	below_min_n
0.7812-0.8125	0.8125-0.8438	0.5500	21	
0.8125-0.8438	0.8125-0.8438		12	below_min_n
0.8438-0.8750	0.8125-0.8438		18	below_min_n
0.8750-0.9062	0.8125-0.8438	0.7865	32	
0.9062-0.9375	0.8125-0.8438	0.7857	32	
0.9375-0.9688	0.8125-0.8438	0.5667	31	
0.9688-1.0000	0.8125-0.8438	0.6547	58	
0.0000-0.0312	0.8438-0.8750	0.6499	58	
0.0312-0.0625	0.8438-0.8750		1	below_min_n
0.0625-0.0938	0.8438-0.8750		5	below_min_n
0.0938-0.1250	0.8438-0.8750		7	below_min_n
0.1250-0.1562	0.8438-0.8750		5	below_min_n
0.1562-0.1875	0.8438-0.8750		5	below_min_n
0.1875-0.2188	0.8438-0.8750		5	below_min_n
0.2188-0.2500	0.8438-0.8750		11	below_min_n
0.2500-0.2812	0.8438-0.8750		10	below_min_n
0.2812-0.3125	0.8438-0.8750		16	below_min_n
0.3125-0.3438	0.8438-0.8750		11	below_min_n
0.3438-0.3750	0.8438-0.8750	0.6933	20	
0.3750-0.4062	0.8438-0.8750	0.4474	21	
0.4062-0.4375	0.8438-0.8750		13	below_min_n
0.4375-0.4688	0.8438-0.8750		19	below_min_n
0.4688-0.5000	0.8438-0.8750		18	below_min_n
0.5000-0.5312	0.8438-0.8750	0.9211	23	
0.5312-0.5625	0.8438-0.8750	0.6167	23	
0.5625-0.5938	0.8438-0.8750	0.6633	21	
0.5938-0.6250	0.8438-0.8750	0.9125	28	
0.6250-0.6562	0.8438-0.8750	0.6798	34	
0.6562-0.6875	0.8438-0.8750	0.6889	24	
0.6875-0.7188	0.8438-0.8750	0.7386	30	
0.7188-0.7500	0.8438-0.8750	0.8319	31	
0.7500-0.7812	0.8438-0.8750	0.4929	27	
0.7812-0.8125	0.8438-0.8750	0.8725	23	
0.8125-0.8438	0.8438-0.8750		16	below_min_n
0.8438-0.8750	0.8438-0.8750	0.6917	33	
0.8750-0.9062	0.8438-0.8750	0.6689	43	
0.9062-0.9375	0.8438-0.8750	0.6340	35	
0.9375-0.9688	0.8438-0.8750	0.7361	38	
0.9688-1.0000	0.8438-0.8750	0.6824	74	
0.0000-0.0312	0.8750-0.9062	0.4754	74	
0.0312-0.0625	0.8750-0.9062		1	below_min_n
0.0625-0.0938	0.8750-0.9062		6	below_min_n
0.0938-0.1250	0.8750-0.9062		3	below_min_n
0.1250-0.1562	0.8750-0.9062		2	below_min_n
0.1562-0.1875	0.8750-0.9062		4	below_min_n
0.1875-0.2188	0.8750-0.9062		6	below_min_n
0.2188-0.2500	0.8750-0.9062		9	below_min_n
0.2500-0.2812	0.8750-0.9062		17	below_min_n
0.2812-0.3125	0.8750-0.9062	0.8667	20	
0.3125-0.3438	0.8750-0.9062		14	below_min_n
0.3438-0.3750	0.8750-0.9062		13	below_min_n
0.3750-0.4062	0.8750-0.9062		18	below_min_n
0.4062-0.4375	0.8750-0.9062		17	below_min_n
0.4375-0.4688	0.8750-0.9062	0.3971	21	
0.4688-0.5000	0.8750-0.9062		7	below_min_n
0.5000-0.5312	0.8750-0.9062	0.6667	22	
0.5312-0.5625	0.8750-0.9062	0.6786	22	
0.5625-0.5938	0.8750-0.9062		17	below_min_n
0.5938-0.6250	0.8750-0.9062	0.7778	27	
0.6250-0.6562	0.8750-0.9062	0.7751	30	
0.6562-0.6875	0.8750-0.9062	0.7840	33	
0.6875-0.7188	0.8750-0.9062	0.6484	33	
0.7188-0.7500	0.8750-0.9062	0.6193	30	
0.7500-0.7812	0.8750-0.9062	0.5962	25	
0.7812-0.8125	0.8750-0.9062	0.5509	30	
0.8125-0.8438	0.8750-0.9062		18	below_min_n
0.8438-0.8750	0.8750-0.9062	0.3891	30	
0.8750-0.9062	0.8750-0.9062	0.5200	35	
0.9062-0.9375	0.8750-0.9062	0.6353	61	
0.9375-0.9688	0.8750-0.9062	0.6182	37	
0.9688-1.0000	0.8750-0.9062	0.6288	102	
0.0000-0.0312	0.9062-0.9375	0.5746	60	
0.0312-0.0625	0.9062-0.9375		3	below_min_n
0.0625-0.0938	0.9062-0.9375		8	below_min_n
0.0938-0.1250	0.9062-0.9375		2	below_min_n
0.1250-0.1562	0.9062-0.9375		7	below_min_n
0.1562-0.1875	0.9062-0.9375		7	below_min_n
0.1875-0.2188	0.9062-0.9375		16	below_min_n
0.2188-0.2500	0.9062-0.9375		10	below_min_n
0.2500-0.2812	0.9062-0.9375		9	below_min_n
0.2812-0.3125	0.9062-0.9375		14	below_min_n
0.3125-0.3438	0.9062-0.9375		14	below_min_n
0.3438-0.3750	0.9062-0.9375		18	below_min_n
0.3750-0.4062	0.9062-0.9375		15	below_min_n
0.4062-0.4375	0.9062-0.9375		15	below_min_n
0.4375-0.4688	0.9062-0.9375		19	below_min_n
0.4688-0.5000	0.9062-0.9375		13	below_min_n
0.5000-0.5312	0.9062-0.9375	0.6812	32	
0.5312-0.5625	0.9062-0.9375		18	below_min_n
0.5625-0.5938	0.9062-0.9375	0.7594	26	
0.5938-0.6250	0.9062-0.9375	0.8091	21	
0.6250-0.6562	0.9062-0.9375	0.6667	21	
0.6562-0.6875	0.9062-0.9375	0.8120	22	
0.6875-0.7188	0.9062-0.9375	0.8000	20	
0.7188-0.7500	0.9062-0.9375	0.7743	39	
0.7500-0.7812	0.9062-0.9375	0.6889	27	
0.7812-0.8125	0.9062-0.9375	0.6308	28	
0.8125-0.8438	0.9062-0.9375	0.6762	22	
0.8438-0.8750	0.9062-0.9375	0.8214	34	
0.8750-0.9062	0.9062-0.9375	0.5875	32	
0.9062-0.9375	0.9062-0.9375	0.5467	50	
0.9375-0.9688	0.9062-0.9375	0.6429	31	
0.9688-1.0000	0.9062-0.9375	0.7426	82	
0.0000-0.0312	0.9375-0.9688	0.4686	73	
0.0312-0.0625	0.9375-0.9688		0	empty
0.0625-0.0938	0.9375-0.9688		5	below_min_n
0.0938-0.1250	0.9375-0.9688		4	below_min_n
0.1250-0.1562	0.9375-0.9688		6	below_min_n
0.1562-0.1875	0.9375-0.9688		3	below_min_n
0.1875-0.2188	0.9375-0.9688		5	below_min_n
0.2188-0.2500	0.9375-0.9688		9	below_min_n
0.2500-0.2812	0.9375-0.9688	0.6400	20	
0.2812-0.3125	0.9375-0.9688		18	below_min_n
0.3125-0.3438	0.9375-0.9688		15	below_min_n
0.3438-0.3750	0.9375-0.9688	0.7714	31	
0.3750-0.4062	0.9375-0.9688		15	below_min_n
0.4062-0.4375	0.9375-0.9688	0.6667	23	
0.4375-0.4688	0.9375-0.9688		19	below_min_n
0.4688-0.5000	0.9375-0.9688	0.8214	20	
0.5000-0.5312	0.9375-0.9688	0.7227	42	
0.5312-0.5625	0.9375-0.9688	0.5909	23	
0.5625-0.5938	0.9375-0.9688	0.8442	25	
0.5938-0.6250	0.9375-0.9688	0.6608	37	
0.6250-0.6562	0.9375-0.9688	0.7546	34	
0.6562-0.6875	0.9375-0.9688	0.8294	36	
0.6875-0.7188	0.9375-0.9688	0.8297	27	
0.7188-0.7500	0.9375-0.9688	0.7230	41	
0.7500-0.7812	0.9375-0.9688	0.6070	39	
0.7812-0.8125	0.9375-0.9688	0.8281	28	
0.8125-0.8438	0.9375-0.9688		13	below_min_n
0.8438-0.8750	0.9375-0.9688	0.6900	45	
0.8750-0.9062	0.9375-0.9688	0.6625	52	
0.9062-0.9375	0.9375-0.9688	0.6161	64	
0.9375-0.9688	0.9375-0.9688	0.7040	60	
0.9688-1.0000	0.9375-0.9688	0.6705	104	
0.0000-0.0312	0.9688-1.0000	0.6396	105	
0.0312-0.0625	0.9688-1.0000		2	below_min_n
0.0625-0.0938	0.9688-1.0000		10	below_min_n
0.0938-0.1250	0.9688-1.0000		6	below_min_n
0.1250-0.1562	0.9688-1.0000		10	below_min_n
0.1562-0.1875	0.9688-1.0000		16	below_min_n
0.1875-0.2188	0.9688-1.0000		7	below_min_n
0.2188-0.2500	0.9688-1.0000		15	below_min_n
0.2500-0.2812	0.9688-1.0000	0.6556	21	
0.2812-0.3125	0.9688-1.0000	0.6213	26	
0.3125-0.3438	0.9688-1.0000		15	below_min_n
0.3438-0.3750	0.9688-1.0000	0.6326	41	
0.3750-0.4062	0.9688-1.0000	0.5273	26	
0.4062-0.4375	0.9688-1.0000	0.6603	25	
0.4375-0.4688	0.9688-1.0000	0.3806	34	
0.4688-0.5000	0.9688-1.0000	0.6263	29	
0.5000-0.5312	0.9688-1.0000	0.7083	55	
0.5312-0.5625	0.9688-1.0000	0.6835	55	
0.5625-0.5938	0.9688-1.0000	0.5079	33	
0.5938-0.6250	0.9688-1.0000	0.6556	48	
0.6250-0.6562	0.9688-1.0000	0.6061	64	
0.6562-0.6875	0.9688-1.0000	0.5878	50	
0.6875-0.7188	0.9688-1.0000	0.6847	57	
0.7188-0.7500	0.9688-1.0000	0.6149	71	
0.7500-0.7812	0.9688-1.0000	0.5536	52	
0.7812-0.8125	0.9688-1.0000	0.7048	63	
0.8125-0.8438	0.9688-1.0000	0.7559	36	
0.8438-0.8750	0.9688-1.0000	0.6678	59	
0.8750-0.9062	0.9688-1.0000	0.6472	99	
0.9062-0.9375	0.9688-1.0000	0.5939	115	
0.9375-0.9688	0.9688-1.0000	0.4499	88	
0.9688-1.0000	0.9688-1.0000	0.5674	194	

=== wiki-rfa | variant=inout_inout | binning=fixed | n_buckets=32 | model=SiGAT ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.0312	0.0000-0.0312	1.0000	86	
0.0312-0.0625	0.0000-0.0312		7	below_min_n
0.0625-0.0938	0.0000-0.0312		14	below_min_n
0.0938-0.1250	0.0000-0.0312		4	below_min_n
0.1250-0.1562	0.0000-0.0312		12	below_min_n
0.1562-0.1875	0.0000-0.0312		10	below_min_n
0.1875-0.2188	0.0000-0.0312	1.0000	32	
0.2188-0.2500	0.0000-0.0312		23	single_class
0.2500-0.2812	0.0000-0.0312		31	single_class
0.2812-0.3125	0.0000-0.0312	1.0000	28	
0.3125-0.3438	0.0000-0.0312	1.0000	29	
0.3438-0.3750	0.0000-0.0312	1.0000	28	
0.3750-0.4062	0.0000-0.0312	1.0000	38	
0.4062-0.4375	0.0000-0.0312	1.0000	27	
0.4375-0.4688	0.0000-0.0312	1.0000	24	
0.4688-0.5000	0.0000-0.0312	1.0000	28	
0.5000-0.5312	0.0000-0.0312	1.0000	40	
0.5312-0.5625	0.0000-0.0312	1.0000	34	
0.5625-0.5938	0.0000-0.0312	1.0000	33	
0.5938-0.6250	0.0000-0.0312	0.9778	37	
0.6250-0.6562	0.0000-0.0312	1.0000	35	
0.6562-0.6875	0.0000-0.0312	1.0000	45	
0.6875-0.7188	0.0000-0.0312	1.0000	28	
0.7188-0.7500	0.0000-0.0312	0.9676	52	
0.7500-0.7812	0.0000-0.0312	0.9815	24	
0.7812-0.8125	0.0000-0.0312	1.0000	31	
0.8125-0.8438	0.0000-0.0312		15	below_min_n
0.8438-0.8750	0.0000-0.0312	0.8600	29	
0.8750-0.9062	0.0000-0.0312	1.0000	34	
0.9062-0.9375	0.0000-0.0312	1.0000	45	
0.9375-0.9688	0.0000-0.0312	0.9972	38	
0.9688-1.0000	0.0000-0.0312	0.9933	61	
0.0000-0.0312	0.0312-0.0625		12	below_min_n
0.0312-0.0625	0.0312-0.0625		1	below_min_n
0.0625-0.0938	0.0312-0.0625		1	below_min_n
0.0938-0.1250	0.0312-0.0625		0	empty
0.1250-0.1562	0.0312-0.0625		1	below_min_n
0.1562-0.1875	0.0312-0.0625		0	empty
0.1875-0.2188	0.0312-0.0625		2	below_min_n
0.2188-0.2500	0.0312-0.0625		3	below_min_n
0.2500-0.2812	0.0312-0.0625		3	below_min_n
0.2812-0.3125	0.0312-0.0625		2	below_min_n
0.3125-0.3438	0.0312-0.0625		3	below_min_n
0.3438-0.3750	0.0312-0.0625		6	below_min_n
0.3750-0.4062	0.0312-0.0625		4	below_min_n
0.4062-0.4375	0.0312-0.0625		5	below_min_n
0.4375-0.4688	0.0312-0.0625		4	below_min_n
0.4688-0.5000	0.0312-0.0625		4	below_min_n
0.5000-0.5312	0.0312-0.0625		6	below_min_n
0.5312-0.5625	0.0312-0.0625		5	below_min_n
0.5625-0.5938	0.0312-0.0625		4	below_min_n
0.5938-0.6250	0.0312-0.0625		4	below_min_n
0.6250-0.6562	0.0312-0.0625		2	below_min_n
0.6562-0.6875	0.0312-0.0625		7	below_min_n
0.6875-0.7188	0.0312-0.0625		10	below_min_n
0.7188-0.7500	0.0312-0.0625		3	below_min_n
0.7500-0.7812	0.0312-0.0625		2	below_min_n
0.7812-0.8125	0.0312-0.0625		1	below_min_n
0.8125-0.8438	0.0312-0.0625		2	below_min_n
0.8438-0.8750	0.0312-0.0625		3	below_min_n
0.8750-0.9062	0.0312-0.0625		4	below_min_n
0.9062-0.9375	0.0312-0.0625		5	below_min_n
0.9375-0.9688	0.0312-0.0625		4	below_min_n
0.9688-1.0000	0.0312-0.0625		11	below_min_n
0.0000-0.0312	0.0625-0.0938		28	single_class
0.0312-0.0625	0.0625-0.0938		1	below_min_n
0.0625-0.0938	0.0625-0.0938		7	below_min_n
0.0938-0.1250	0.0625-0.0938		3	below_min_n
0.1250-0.1562	0.0625-0.0938		5	below_min_n
0.1562-0.1875	0.0625-0.0938		3	below_min_n
0.1875-0.2188	0.0625-0.0938		3	below_min_n
0.2188-0.2500	0.0625-0.0938		8	below_min_n
0.2500-0.2812	0.0625-0.0938		8	below_min_n
0.2812-0.3125	0.0625-0.0938		10	below_min_n
0.3125-0.3438	0.0625-0.0938		9	below_min_n
0.3438-0.3750	0.0625-0.0938		7	below_min_n
0.3750-0.4062	0.0625-0.0938		11	below_min_n
0.4062-0.4375	0.0625-0.0938		13	below_min_n
0.4375-0.4688	0.0625-0.0938		10	below_min_n
0.4688-0.5000	0.0625-0.0938		10	below_min_n
0.5000-0.5312	0.0625-0.0938		11	below_min_n
0.5312-0.5625	0.0625-0.0938		7	below_min_n
0.5625-0.5938	0.0625-0.0938		11	below_min_n
0.5938-0.6250	0.0625-0.0938		15	below_min_n
0.6250-0.6562	0.0625-0.0938		10	below_min_n
0.6562-0.6875	0.0625-0.0938		18	below_min_n
0.6875-0.7188	0.0625-0.0938		12	below_min_n
0.7188-0.7500	0.0625-0.0938		17	below_min_n
0.7500-0.7812	0.0625-0.0938		11	below_min_n
0.7812-0.8125	0.0625-0.0938		12	below_min_n
0.8125-0.8438	0.0625-0.0938		10	below_min_n
0.8438-0.8750	0.0625-0.0938		15	below_min_n
0.8750-0.9062	0.0625-0.0938		15	below_min_n
0.9062-0.9375	0.0625-0.0938		16	below_min_n
0.9375-0.9688	0.0625-0.0938		22	single_class
0.9688-1.0000	0.0625-0.0938		15	below_min_n
0.0000-0.0312	0.0938-0.1250	1.0000	36	
0.0312-0.0625	0.0938-0.1250		3	below_min_n
0.0625-0.0938	0.0938-0.1250		4	below_min_n
0.0938-0.1250	0.0938-0.1250		2	below_min_n
0.1250-0.1562	0.0938-0.1250		1	below_min_n
0.1562-0.1875	0.0938-0.1250		2	below_min_n
0.1875-0.2188	0.0938-0.1250		7	below_min_n
0.2188-0.2500	0.0938-0.1250		3	below_min_n
0.2500-0.2812	0.0938-0.1250		13	below_min_n
0.2812-0.3125	0.0938-0.1250		3	below_min_n
0.3125-0.3438	0.0938-0.1250		11	below_min_n
0.3438-0.3750	0.0938-0.1250		18	below_min_n
0.3750-0.4062	0.0938-0.1250		13	below_min_n
0.4062-0.4375	0.0938-0.1250		8	below_min_n
0.4375-0.4688	0.0938-0.1250		8	below_min_n
0.4688-0.5000	0.0938-0.1250		4	below_min_n
0.5000-0.5312	0.0938-0.1250		19	below_min_n
0.5312-0.5625	0.0938-0.1250		9	below_min_n
0.5625-0.5938	0.0938-0.1250		8	below_min_n
0.5938-0.6250	0.0938-0.1250		8	below_min_n
0.6250-0.6562	0.0938-0.1250		17	below_min_n
0.6562-0.6875	0.0938-0.1250		14	below_min_n
0.6875-0.7188	0.0938-0.1250		10	below_min_n
0.7188-0.7500	0.0938-0.1250		18	below_min_n
0.7500-0.7812	0.0938-0.1250		10	below_min_n
0.7812-0.8125	0.0938-0.1250		11	below_min_n
0.8125-0.8438	0.0938-0.1250		6	below_min_n
0.8438-0.8750	0.0938-0.1250		14	below_min_n
0.8750-0.9062	0.0938-0.1250		10	below_min_n
0.9062-0.9375	0.0938-0.1250		18	below_min_n
0.9375-0.9688	0.0938-0.1250		16	below_min_n
0.9688-1.0000	0.0938-0.1250	0.0400	26	
0.0000-0.0312	0.1250-0.1562		27	single_class
0.0312-0.0625	0.1250-0.1562		1	below_min_n
0.0625-0.0938	0.1250-0.1562		9	below_min_n
0.0938-0.1250	0.1250-0.1562		1	below_min_n
0.1250-0.1562	0.1250-0.1562		2	below_min_n
0.1562-0.1875	0.1250-0.1562		4	below_min_n
0.1875-0.2188	0.1250-0.1562		7	below_min_n
0.2188-0.2500	0.1250-0.1562		7	below_min_n
0.2500-0.2812	0.1250-0.1562		9	below_min_n
0.2812-0.3125	0.1250-0.1562		6	below_min_n
0.3125-0.3438	0.1250-0.1562		5	below_min_n
0.3438-0.3750	0.1250-0.1562		7	below_min_n
0.3750-0.4062	0.1250-0.1562		12	below_min_n
0.4062-0.4375	0.1250-0.1562		5	below_min_n
0.4375-0.4688	0.1250-0.1562		7	below_min_n
0.4688-0.5000	0.1250-0.1562		10	below_min_n
0.5000-0.5312	0.1250-0.1562		13	below_min_n
0.5312-0.5625	0.1250-0.1562		8	below_min_n
0.5625-0.5938	0.1250-0.1562		13	below_min_n
0.5938-0.6250	0.1250-0.1562		5	below_min_n
0.6250-0.6562	0.1250-0.1562		6	below_min_n
0.6562-0.6875	0.1250-0.1562		15	below_min_n
0.6875-0.7188	0.1250-0.1562		9	below_min_n
0.7188-0.7500	0.1250-0.1562		12	below_min_n
0.7500-0.7812	0.1250-0.1562		9	below_min_n
0.7812-0.8125	0.1250-0.1562		10	below_min_n
0.8125-0.8438	0.1250-0.1562		6	below_min_n
0.8438-0.8750	0.1250-0.1562		8	below_min_n
0.8750-0.9062	0.1250-0.1562		14	below_min_n
0.9062-0.9375	0.1250-0.1562		8	below_min_n
0.9375-0.9688	0.1250-0.1562		3	below_min_n
0.9688-1.0000	0.1250-0.1562		16	below_min_n
0.0000-0.0312	0.1562-0.1875	0.8440	50	
0.0312-0.0625	0.1562-0.1875		0	empty
0.0625-0.0938	0.1562-0.1875		14	below_min_n
0.0938-0.1250	0.1562-0.1875		5	below_min_n
0.1250-0.1562	0.1562-0.1875		5	below_min_n
0.1562-0.1875	0.1562-0.1875		6	below_min_n
0.1875-0.2188	0.1562-0.1875		5	below_min_n
0.2188-0.2500	0.1562-0.1875		11	below_min_n
0.2500-0.2812	0.1562-0.1875		17	below_min_n
0.2812-0.3125	0.1562-0.1875		11	below_min_n
0.3125-0.3438	0.1562-0.1875		15	below_min_n
0.3438-0.3750	0.1562-0.1875		21	single_class
0.3750-0.4062	0.1562-0.1875		14	below_min_n
0.4062-0.4375	0.1562-0.1875		12	below_min_n
0.4375-0.4688	0.1562-0.1875		14	below_min_n
0.4688-0.5000	0.1562-0.1875		11	below_min_n
0.5000-0.5312	0.1562-0.1875		21	single_class
0.5312-0.5625	0.1562-0.1875		10	below_min_n
0.5625-0.5938	0.1562-0.1875		13	below_min_n
0.5938-0.6250	0.1562-0.1875		16	below_min_n
0.6250-0.6562	0.1562-0.1875		22	single_class
0.6562-0.6875	0.1562-0.1875		20	single_class
0.6875-0.7188	0.1562-0.1875		20	single_class
0.7188-0.7500	0.1562-0.1875		21	single_class
0.7500-0.7812	0.1562-0.1875		13	below_min_n
0.7812-0.8125	0.1562-0.1875		16	below_min_n
0.8125-0.8438	0.1562-0.1875		8	below_min_n
0.8438-0.8750	0.1562-0.1875	0.6087	24	
0.8750-0.9062	0.1562-0.1875		12	below_min_n
0.9062-0.9375	0.1562-0.1875		12	below_min_n
0.9375-0.9688	0.1562-0.1875		16	below_min_n
0.9688-1.0000	0.1562-0.1875		31	single_class
0.0000-0.0312	0.1875-0.2188	0.9773	45	
0.0312-0.0625	0.1875-0.2188		2	below_min_n
0.0625-0.0938	0.1875-0.2188		2	below_min_n
0.0938-0.1250	0.1875-0.2188		5	below_min_n
0.1250-0.1562	0.1875-0.2188		2	below_min_n
0.1562-0.1875	0.1875-0.2188		7	below_min_n
0.1875-0.2188	0.1875-0.2188		9	below_min_n
0.2188-0.2500	0.1875-0.2188		7	below_min_n
0.2500-0.2812	0.1875-0.2188		4	below_min_n
0.2812-0.3125	0.1875-0.2188		13	below_min_n
0.3125-0.3438	0.1875-0.2188		14	below_min_n
0.3438-0.3750	0.1875-0.2188		7	below_min_n
0.3750-0.4062	0.1875-0.2188		7	below_min_n
0.4062-0.4375	0.1875-0.2188		12	below_min_n
0.4375-0.4688	0.1875-0.2188		8	below_min_n
0.4688-0.5000	0.1875-0.2188		7	below_min_n
0.5000-0.5312	0.1875-0.2188		14	below_min_n
0.5312-0.5625	0.1875-0.2188		11	below_min_n
0.5625-0.5938	0.1875-0.2188		13	below_min_n
0.5938-0.6250	0.1875-0.2188		17	below_min_n
0.6250-0.6562	0.1875-0.2188		15	below_min_n
0.6562-0.6875	0.1875-0.2188		11	below_min_n
